repo,stars,language,age_years,merged_prs,releases,days_since_update,total_issues,closed_issues,issues_ratio
infiniflow/ragflow,35197,Python,1.17,2177,21,0.0,2348,1421,0.6052
airbnb/lottie-android,35187,Java,8.35,701,55,0.02,1748,1725,0.9868
DIYgod/RSSHub,35168,TypeScript,6.87,10077,0,0.03,5769,5445,0.9438
nativefier/nativefier,35076,TypeScript,9.61,261,99,0.09,1238,982,0.7932
KRTirtho/spotube,35035,Dart,4.0,231,37,0.01,1537,971,0.6318
FlowiseAI/Flowise,35025,TypeScript,1.87,1058,62,0.0,1711,1268,0.7411
gofiber/fiber,34987,Go,5.08,1555,124,0.08,1480,1387,0.9372
sahat/hackathon-starter,34974,JavaScript,11.25,324,16,0.3,657,649,0.9878
lapce/lapce,34960,Rust,7.02,1159,31,0.18,1941,1163,0.5992
formulahendry/955.WLB,34947,Não especificada,5.88,18,0,0.06,262,82,0.313
jondot/awesome-react-native,34903,JavaScript,9.89,912,0,0.01,72,35,0.4861
goabstract/Awesome-Design-Tools,34896,JavaScript,6.0,283,0,0.03,41,25,0.6098
carbon-app/carbon,34892,JavaScript,7.66,669,215,0.34,678,627,0.9248
google-research/google-research,34876,Jupyter Notebook,6.36,29,0,0.02,1282,335,0.2613
slidevjs/slidev,34874,TypeScript,3.81,640,375,0.07,1122,1011,0.9011
typeorm/typeorm,34852,TypeScript,8.96,2018,32,0.09,8267,5846,0.7071
logseq/logseq,34829,Clojure,4.73,2981,147,0.01,7752,6355,0.8198
tw93/Pake,34821,Rust,2.33,95,31,0.01,349,318,0.9112
upscayl/upscayl,34806,TypeScript,2.54,83,29,0.0,851,803,0.9436
rapid7/metasploit-framework,34781,Ruby,13.46,10923,0,0.24,6149,5734,0.9325
bumptech/glide,34778,Java,11.6,542,47,0.01,4457,3917,0.8788
httpie/cli,34748,Python,12.97,406,47,0.07,881,718,0.815
unknwon/the-way-to-go_ZH_CN,34729,Go,11.89,592,0,0.06,0,0,0.0
halo-dev/halo,34710,Java,6.9,2411,207,0.19,4125,3778,0.9159
docker/compose,34680,Go,11.18,3269,246,0.01,7854,7764,0.9885
ToolJet/ToolJet,34661,JavaScript,3.88,5527,283,0.03,4680,3930,0.8397
chenfei-wu/TaskMatrix,34543,Python,1.95,21,0,0.34,356,136,0.382
ccxt/ccxt,34530,Python,7.75,12488,134,0.05,10556,9649,0.9141
junegunn/vim-plug,34522,Vim Script,11.43,176,8,0.15,1026,957,0.9327
karanpratapsingh/system-design,34418,Não especificada,2.5,11,0,0.02,21,20,0.9524
hankcs/HanLP,34408,Python,10.35,79,62,0.06,1424,1416,0.9944
nodejs/node-v0.x-archive,34408,Não especificada,15.72,218,0,0.17,6379,6379,1.0
zhayujie/chatgpt-on-wechat,34333,Python,2.52,245,61,0.0,1920,1622,0.8448
2noise/ChatTTS,34295,Python,0.72,207,4,0.01,601,541,0.9002
BVLC/caffe,34213,C++,11.42,1087,14,0.02,4799,3899,0.8125
jaredpalmer/formik,34127,TypeScript,7.67,829,196,0.08,2253,1556,0.6906
zenorocha/clipboard.js,34098,JavaScript,9.4,117,42,0.4,626,616,0.984
GitHubDaily/GitHubDaily,34096,Não especificada,6.12,3,0,0.0,478,170,0.3556
testerSunshine/12306,34018,Python,7.74,31,1,0.26,691,466,0.6744
calcom/cal.com,34002,TypeScript,3.9,8819,381,0.03,7172,6286,0.8765
sorrycc/awesome-javascript,33934,Não especificada,10.62,380,0,0.07,90,86,0.9556
xitu/gold-miner,33922,Não especificada,9.28,3563,0,0.02,5596,5591,0.9991
nushell/nushell,33834,Rust,5.76,7293,104,0.0,6102,4659,0.7635
PKUanonym/REKCARC-TSC-UHT,33820,HTML,5.86,159,0,0.35,31,30,0.9677
spacedriveapp/spacedrive,33814,TypeScript,3.38,1880,25,0.03,495,386,0.7798
markedjs/marked,33808,TypeScript,13.56,1486,146,0.04,1558,1542,0.9897
netty/netty,33771,Java,14.26,3905,0,0.09,6556,5977,0.9117
alebcay/awesome-shell,33720,Não especificada,10.61,307,0,0.01,57,22,0.386
fxsjy/jieba,33674,Python,12.37,96,9,0.42,853,227,0.2661
atlassian/react-beautiful-dnd,33649,JavaScript,7.52,530,68,0.16,1613,1044,0.6472
shadowsocks/shadowsocks,33598,Python,12.82,70,2,0.24,0,0,0.0
Blankj/AndroidUtilCode,33443,Java,8.54,88,117,0.22,1580,1278,0.8089
chatchat-space/Langchain-Chatchat,33365,TypeScript,1.87,616,31,0.02,4030,3828,0.9499
xkcoding/spring-boot-demo,33362,Java,7.26,15,0,0.09,168,73,0.4345
AFNetworking/AFNetworking,33351,Objective-C,13.71,710,40,0.11,0,0,0.0
halfrost/LeetCode-Go,33306,Go,7.58,178,4,0.01,79,63,0.7975
sqlmapproject/sqlmap,33279,Python,12.63,169,10,0.46,5279,5229,0.9905
adobe/brackets,33226,JavaScript,13.19,4332,69,0.41,9683,7066,0.7297
XX-net/XX-Net,33164,Python,10.08,362,388,0.14,13310,5413,0.4067
huggingface/pytorch-image-models,33130,Python,6.03,435,64,0.05,955,907,0.9497
laravel/framework,33089,PHP,12.09,15904,798,0.06,18512,18495,0.9991
alibaba/easyexcel,33087,Java,7.02,190,14,0.03,3573,3113,0.8713
typicode/husky,33078,JavaScript,10.64,262,80,0.04,1061,1009,0.951
gulpjs/gulp,33072,JavaScript,11.61,405,23,0.15,1934,1906,0.9855
zxing/zxing,33053,Java,13.34,317,31,0.01,1296,1290,0.9954
fastify/fastify,33018,JavaScript,8.38,2935,290,0.06,2036,1975,0.97
immutable-js/immutable-js,33009,TypeScript,10.62,531,85,0.19,1247,1147,0.9198
solidjs/solid,32957,TypeScript,6.81,363,35,0.01,1047,948,0.9054
facebookresearch/faiss,32942,C++,8.01,137,18,0.0,2567,2342,0.9123
doocs/leetcode,32916,Java,6.41,3640,20,0.06,50,48,0.96
TeamNewPipe/NewPipe,32875,Java,9.45,1604,135,0.04,9267,8099,0.874
TheAlgorithms/JavaScript,32861,JavaScript,7.59,795,0,0.4,203,196,0.9655
fengdu78/Coursera-ML-AndrewNg-Notes,32835,HTML,7.28,13,0,0.0,68,15,0.2206
reworkd/AgentGPT,32815,TypeScript,1.86,539,12,0.03,461,337,0.731
jaywcjlove/linux-command,32781,Markdown,8.25,344,29,0.01,193,122,0.6321
dockur/windows,32775,Shell,1.08,324,79,0.02,642,549,0.8551
bilibili/ijkplayer,32732,C,11.7,35,0,0.2,5361,2540,0.4738
shadowsocks/ShadowsocksX-NG,32620,Swift,8.68,64,30,0.06,1356,1048,0.7729
carbon-language/carbon-lang,32607,C++,4.8,3515,221,0.07,623,511,0.8202
python-poetry/poetry,32545,Python,6.96,2262,137,0.11,6052,5594,0.9243
geekcomputers/Python,32493,Python,13.21,1616,0,0.07,437,139,0.3181
kilimchoi/engineering-blogs,32448,Ruby,9.67,681,0,0.24,96,74,0.7708
harness/harness,32443,Go,11.02,1041,50,0.18,1991,1920,0.9643
milvus-io/milvus,32363,Go,5.41,20969,106,0.01,12702,12074,0.9506
bayandin/awesome-awesomeness,32355,Ruby,10.6,197,0,0.08,68,52,0.7647
Pythagora-io/gpt-pilot,32325,Python,1.5,395,0,0.01,543,301,0.5543
makeplane/plane,32304,TypeScript,2.24,4917,39,0.06,1105,697,0.6308
google/material-design-lite,32288,HTML,10.08,655,14,0.32,2189,1812,0.8278
gedoor/legado,32285,Kotlin,5.73,1065,115,0.03,2594,2531,0.9757
zsh-users/zsh-autosuggestions,32210,Shell,11.3,114,0,0.04,603,453,0.7512
payloadcms/payload,32203,TypeScript,4.1,4721,485,0.01,3105,2842,0.9153
portainer/portainer,31971,TypeScript,8.74,4777,135,0.03,5762,5226,0.907
certbot/certbot,31904,Python,10.26,3868,56,0.0,5372,5240,0.9754
The-Run-Philosophy-Organization/run,31885,Não especificada,2.85,172,0,0.17,255,213,0.8353
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,31879,JavaScript,9.88,98,0,0.48,27,20,0.7407
CMU-Perceptual-Computing-Lab/openpose,31836,C++,7.81,174,15,0.01,1985,1662,0.8373
pola-rs/polars,31823,Rust,4.75,10270,202,0.16,9811,7667,0.7815
beego/beego,31816,Go,12.96,1309,38,0.19,3356,3350,0.9982
Chanzhaoyu/chatgpt-web,31805,Vue,2.01,159,43,0.08,1747,1747,1.0
hashicorp/vault,31747,Go,9.97,19841,155,0.06,6240,5172,0.8288
lizongying/my-tv,31726,C,1.2,11,72,0.04,912,774,0.8487
inkonchain/node,31721,Shell,0.75,26,2,0.02,11,5,0.4545
zbezj/HEU_KMS_Activator,31686,Não especificada,5.65,0,40,0.01,161,25,0.1553
Trinea/android-open-project,31675,Não especificada,11.11,204,0,0.0,85,74,0.8706
inkonchain/docs,31674,MDX,0.77,278,0,0.02,27,13,0.4815
swc-project/swc,31658,Rust,7.14,5042,618,0.03,3713,3318,0.8936
karpathy/LLM101n,31642,Não especificada,0.72,0,0,0.01,0,0,0.0
mattermost/mattermost,31606,TypeScript,9.67,17933,704,0.17,8863,8212,0.9265
ibraheemdev/modern-unix,31582,Não especificada,4.09,15,0,0.35,81,30,0.3704
SeleniumHQ/selenium,31560,Java,12.08,2545,101,0.03,10630,10502,0.988
inkonchain/ink-kit,31532,TypeScript,0.27,80,0,0.02,2,0,0.0
qishibo/AnotherRedisDesktopManager,31501,JavaScript,6.1,149,53,0.01,1037,916,0.8833
lllyasviel/ControlNet,31419,Python,2.03,5,0,0.04,564,138,0.2447
hasura/graphql-engine,31334,TypeScript,6.66,2110,279,0.16,6327,4077,0.6444
huiyadanli/RevokeMsgPatcher,31317,C#,5.57,10,20,0.02,755,690,0.9139
ziadoz/awesome-php,31303,Não especificada,11.22,444,0,0.22,151,150,0.9934
shardeum/shardeum,31293,TypeScript,0.83,159,0,0.03,35,23,0.6571
ehang-io/nps,31253,Go,6.28,74,59,0.01,1190,697,0.5857
veggiemonk/awesome-docker,31247,Não especificada,10.4,929,1,0.02,129,127,0.9845
jax-ml/jax,31240,Python,6.3,12027,118,0.02,5949,4456,0.749
TheAlgorithms/C-Plus-Plus,31222,C++,8.58,667,0,0.29,313,304,0.9712
facebookresearch/detectron2,31206,Python,5.44,0,10,0.05,3534,3083,0.8724
yewstack/yew,31202,MDX,7.16,1725,35,0.24,1250,1126,0.9008
jqlang/jq,31151,C,12.57,572,13,0.13,2227,1864,0.837
SerenityOS/serenity,31076,C++,6.2,19163,0,0.04,4211,3495,0.83
pcottle/learnGitBranching,31062,JavaScript,12.5,587,0,0.16,500,459,0.918
vercel/swr,31013,TypeScript,5.3,780,118,0.02,933,808,0.866
amix/vimrc,31008,Vim Script,12.71,107,0,0.12,516,510,0.9884
ReactiveX/rxjs,31003,TypeScript,9.92,2587,2,0.01,3155,2936,0.9306
niklasvh/html2canvas,30955,TypeScript,13.58,186,45,0.39,2601,1657,0.6371
facebookresearch/fairseq,30950,Python,7.46,233,16,0.05,4217,3053,0.724
microsoft/MS-DOS,30947,Assembly,6.64,37,0,0.02,0,0,0.0
blueimp/jQuery-File-Upload,30947,PHP,14.2,119,0,0.08,3307,3258,0.9852
geekan/HowToLiveLonger,30929,Não especificada,2.83,13,0,0.38,129,103,0.7984
remoteintech/remote-jobs,30918,JavaScript,9.34,1250,0,0.02,179,159,0.8883
explosion/spaCy,30889,Python,10.62,3581,127,0.0,5682,5523,0.972
usebruno/bruno,30874,JavaScript,2.38,911,122,0.0,2335,1264,0.5413
mqyqingfeng/Blog,30872,Não especificada,7.92,3,0,0.09,321,100,0.3115
airbnb/lottie-web,30861,JavaScript,9.98,136,0,0.18,2879,2122,0.7371
llvm/llvm-project,30838,LLVM,8.19,37218,123,0.0,80435,55685,0.6923
myshell-ai/OpenVoice,30825,Python,1.21,17,0,0.01,270,54,0.2
alibaba/nacos,30811,Java,6.67,2939,76,0.56,8794,8565,0.974
ShareX/ShareX,30791,C#,11.35,743,80,0.02,6621,6047,0.9133
pnpm/pnpm,30754,TypeScript,9.05,2413,981,0.02,4508,2808,0.6229
yunjey/pytorch-tutorial,30746,Python,7.93,28,0,0.02,179,113,0.6313
remix-run/remix,30692,TypeScript,4.3,3360,155,0.03,2577,2301,0.8929
aseprite/aseprite,30691,C++,10.49,343,114,0.01,4041,2370,0.5865
floating-ui/floating-ui,30641,TypeScript,8.88,1111,467,0.16,1411,1381,0.9787
balena-io/etcher,30580,TypeScript,9.3,1725,283,0.02,2299,1807,0.786
alibaba/p3c,30553,Kotlin,7.64,62,0,0.17,858,698,0.8135
mathiasbynens/dotfiles,30549,Shell,13.44,44,0,0.04,392,248,0.6327
lib-pku/libpku,30513,TeX,6.23,22,0,0.03,41,31,0.7561
binarywang/WxJava,30510,Java,9.11,987,30,0.01,2264,2237,0.9881
cockroachdb/cockroach,30486,Go,11.02,62925,0,0.01,70411,64535,0.9165
labstack/echo,30447,Go,9.96,586,108,0.02,1435,1381,0.9624
ityouknow/spring-boot-examples,30363,Java,8.27,7,0,0.02,108,99,0.9167
v2fly/v2ray-core,30356,Go,5.83,862,98,0.03,1001,968,0.967
ianstormtaylor/slate,30337,TypeScript,8.66,1878,186,0.23,3153,2502,0.7935
0xAX/linux-insides,30320,Python,10.11,577,0,0.03,184,152,0.8261
Binaryify/NeteaseCloudMusicApi,30308,Não especificada,8.65,292,0,0.03,1337,1190,0.8901
qier222/YesPlayMusic,30302,Vue,4.35,283,31,0.03,1781,1188,0.667
coolsnowwolf/lede,30297,C,7.44,1987,6,0.01,8917,8171,0.9163
mudler/LocalAI,30293,Go,1.91,3023,68,0.02,935,537,0.5743
open-mmlab/mmdetection,30212,Python,6.48,2359,53,0.03,8423,6732,0.7992
pbatard/rufus,30206,C,13.24,1,81,0.04,2428,2419,0.9963
gchq/CyberChef,30183,JavaScript,8.21,463,447,0.07,1005,595,0.592
Bin-Huang/chatbox,30135,TypeScript,1.94,52,47,0.0,1758,1289,0.7332
SortableJS/Sortable,30045,JavaScript,11.15,246,30,0.13,1800,1342,0.7456
microsoft/calculator,30034,C++,6.04,875,0,0.17,1074,712,0.6629
joshbuchea/HEAD,30019,Não especificada,8.82,86,0,0.12,93,73,0.7849
symfony/symfony,29999,PHP,15.11,23394,537,0.09,20720,20198,0.9748
unclecode/crawl4ai,29959,Python,0.77,44,0,0.0,434,400,0.9217
layui/layui,29949,JavaScript,9.4,527,134,0.44,1200,1153,0.9608
webtorrent/webtorrent,29910,JavaScript,11.33,932,210,0.01,1651,1584,0.9594
kubernetes/minikube,29903,Go,8.83,8391,150,0.01,9840,9335,0.9487
donnemartin/interactive-coding-challenges,29900,Python,9.8,176,0,0.0,68,32,0.4706
dokku/dokku,29876,Shell,11.68,3912,294,0.02,2762,2718,0.9841
zeromicro/go-zero,29866,Go,4.52,2159,125,0.03,1727,1508,0.8732
ManimCommunity/manim,29842,Python,4.74,1832,29,0.02,1588,1177,0.7412
qbittorrent/qBittorrent,29831,C++,13.03,3712,0,0.0,16363,13555,0.8284
lovell/sharp,29828,JavaScript,11.49,288,88,0.0,3887,3765,0.9686
alan2207/bulletproof-react,29816,TypeScript,3.71,69,0,0.03,107,76,0.7103
refinedev/refine,29813,TypeScript,4.06,4305,1000,0.0,1579,1553,0.9835
mckaywrigley/chatbot-ui,29808,TypeScript,1.93,281,0,0.04,973,814,0.8366
tatsu-lab/stanford_alpaca,29806,Python,1.93,6,0,0.01,271,98,0.3616
TabbyML/tabby,29769,Rust,1.92,2629,182,0.03,814,657,0.8071
sequelize/sequelize,29768,TypeScript,14.56,4838,483,0.09,10367,9502,0.9166
vuejs/vue-cli,29764,JavaScript,9.13,1258,177,0.12,5492,4558,0.8299
outline/outline,29760,TypeScript,8.73,2611,140,0.08,3092,2988,0.9664
parallax/jsPDF,29732,JavaScript,15.19,709,33,0.11,2521,2405,0.954
foundation/foundation-sites,29715,HTML,13.34,2958,79,0.04,8228,8180,0.9942
mpv-player/mpv,29633,C,12.34,3201,86,0.03,10244,9402,0.9178
fastapi/full-stack-fastapi-template,29631,TypeScript,5.97,367,9,0.01,419,253,0.6038
fabricjs/fabric.js,29607,JavaScript,14.68,2222,163,0.01,6124,5728,0.9353
xinntao/Real-ESRGAN,29561,Python,3.57,21,10,0.01,699,169,0.2418
square/leakcanary,29542,Kotlin,9.79,919,43,0.71,1609,1512,0.9397
AMAI-GmbH/AI-Expert-Roadmap,29531,JavaScript,4.3,13,0,0.0,65,46,0.7077
mifi/lossless-cut,29523,TypeScript,8.29,190,99,0.03,1526,1346,0.882
react-boilerplate/react-boilerplate,29506,JavaScript,9.99,715,16,0.63,1905,1822,0.9564
elsewhencode/project-guidelines,29500,JavaScript,7.62,114,0,0.7,38,29,0.7632
charmbracelet/bubbletea,29496,Go,5.09,566,55,0.16,325,259,0.7969
dromara/hutool,29494,Java,10.84,420,148,0.02,2878,2875,0.999
AmruthPillai/Reactive-Resume,29494,TypeScript,4.89,633,95,0.06,1442,1238,0.8585
ariya/phantomjs,29480,C++,14.13,562,0,0.8,4745,4731,0.997
transloadit/uppy,29477,TypeScript,9.24,2956,132,0.5,2371,2231,0.941
influxdata/influxdb,29471,Rust,11.38,10245,87,0.0,13731,11717,0.8533
codex-team/editor.js,29470,TypeScript,9.21,860,100,0.04,1502,919,0.6119
apache/kafka,29433,Java,13.5,10598,0,0.02,0,0,0.0
hiroi-sora/Umi-OCR,29409,Python,2.88,45,30,0.0,643,474,0.7372
aosabook/500lines,29399,JavaScript,11.28,175,0,0.06,70,39,0.5571
ChrisTitusTech/winutil,29361,PowerShell,2.8,762,17,0.02,1723,1540,0.8938
OAI/OpenAPI-Specification,29357,Markdown,10.95,1242,12,0.08,2285,2116,0.926
lutzroeder/netron,29346,JavaScript,14.13,1,2,0.0,1173,1153,0.9829
JushBJJ/Mr.-Ranedeer-AI-Tutor,29340,Não especificada,1.87,19,3,0.05,47,34,0.7234
apolloconfig/apollo,29323,Java,8.95,1419,41,0.08,3291,3153,0.9581
IanLunn/Hover,29320,SCSS,11.11,23,10,0.55,107,83,0.7757
backstage/backstage,29309,TypeScript,5.05,17670,404,0.16,6532,6175,0.9453
VincentGarreau/particles.js,29308,JavaScript,10.44,21,6,0.24,407,106,0.2604
s0md3v/roop,29282,Python,1.72,82,6,0.38,0,0,0.0
linexjlin/GPTs,29265,Não especificada,1.26,45,0,0.02,27,21,0.7778
tqdm/tqdm,29250,Python,9.7,287,131,0.03,1012,584,0.5771
standard/standard,29240,JavaScript,10.05,412,7,0.12,1231,1121,0.9106
google/comprehensive-rust,29236,Rust,2.15,2001,0,0.02,318,211,0.6635
servo/servo,29228,Rust,13.01,18447,0,0.08,13014,9891,0.76
lukehoban/es6features,29221,Não especificada,10.95,41,0,0.77,57,36,0.6316
herrbischoff/awesome-macos-command-line,29219,Não especificada,9.39,104,0,0.04,0,0,0.0
exelban/stats,29194,Swift,5.71,399,282,0.01,1915,1899,0.9916
trailofbits/algo,29180,Jinja,8.75,530,2,0.02,1602,1428,0.8914
facebook/rocksdb,29119,C++,12.2,606,200,0.17,3286,2597,0.7903
CSSEGISandData/COVID-19,29083,Não especificada,5.02,2152,0,0.32,3759,2079,0.5531
jobbole/awesome-python-cn,29083,Makefile,9.28,51,0,0.03,31,18,0.5806
YunaiV/ruoyi-vue-pro,29081,Java,4.05,55,34,0.02,519,509,0.9807
cheeriojs/cheerio,29047,TypeScript,13.35,2604,58,0.07,1205,1178,0.9776
directus/directus,29043,TypeScript,12.17,7717,327,0.05,8954,8426,0.941
alpinejs/alpine,28992,HTML,5.21,655,136,0.03,603,602,0.9983
Lightning-AI/pytorch-lightning,28975,Python,5.88,8826,163,0.05,7216,6352,0.8803
facebook/folly,28969,C++,12.7,12,227,0.1,1175,911,0.7753
MonitorControl/MonitorControl,28953,Swift,7.41,213,26,0.03,956,950,0.9937
kodecocodes/swift-algorithm-club,28942,Swift,9.05,610,0,0.02,215,183,0.8512
ascoders/weekly,28918,JavaScript,7.9,136,193,0.43,365,363,0.9945
cline/cline,28887,TypeScript,0.61,118,48,0.0,882,560,0.6349
OWASP/CheatSheetSeries,28837,Python,6.15,993,0,0.07,481,438,0.9106
siyuan-note/siyuan,28830,TypeScript,4.46,398,739,0.02,13506,13163,0.9746
composer/composer,28804,PHP,13.69,2893,209,0.23,7787,7678,0.986
alibaba/canal,28796,Java,12.08,463,32,0.02,4645,3551,0.7645
DataTalksClub/data-engineering-zoomcamp,28795,Jupyter Notebook,3.31,356,0,0.08,133,132,0.9925
numpy/numpy,28791,Python,14.42,12379,124,0.03,13095,11101,0.8477
microsoft/Data-Science-For-Beginners,28790,Jupyter Notebook,3.95,293,0,0.15,117,95,0.812
k3s-io/k3s,28769,Go,6.71,3722,820,0.05,6428,6298,0.9798
encode/django-rest-framework,28767,Python,13.95,2974,19,0.09,3918,3857,0.9844
docsifyjs/docsify,28735,JavaScript,8.23,691,14,0.16,1275,1132,0.8878
AllThingsSmitty/css-protips,28729,Não especificada,9.46,68,0,0.03,60,59,0.9833
schollz/croc,28725,Go,7.33,228,172,0.01,517,506,0.9787
tastejs/todomvc,28720,JavaScript,13.7,760,6,0.41,784,661,0.8431
ueberdosis/tiptap,28714,TypeScript,6.48,1031,850,0.04,2937,2418,0.8233
hashicorp/consul,28672,Go,11.27,13499,195,0.01,5497,4265,0.7759
GoogleChrome/lighthouse,28671,JavaScript,8.94,5309,116,0.13,9088,8539,0.9396
surrealdb/surrealdb,28668,Rust,3.18,1788,65,0.03,1928,1263,0.6551
postcss/postcss,28642,TypeScript,11.39,743,264,0.29,1006,983,0.9771
iawia002/lux,28639,Go,6.97,296,86,0.08,1044,539,0.5163
realpython/python-guide,28633,Batchfile,13.92,683,0,0.1,269,176,0.6543
kenwheeler/slick,28592,JavaScript,10.89,249,48,0.37,3612,2403,0.6653
wuyouzhuguli/SpringAll,28583,Java,6.79,1,0,0.01,48,27,0.5625
nextcloud/server,28583,PHP,8.7,25710,305,0.02,19408,17193,0.8859
Ebazhanov/linkedin-skill-assessments-quizzes,28569,Não especificada,5.59,5638,1,0.06,890,807,0.9067
google-ai-edge/mediapipe,28552,C++,5.67,199,59,0.01,5299,4926,0.9296
danielmiessler/fabric,28541,Go,1.11,254,92,0.07,580,410,0.7069
IceWhaleTech/CasaOS,28501,Go,3.38,267,96,0.02,1424,833,0.585
vuejs/vuex,28450,JavaScript,9.58,656,51,0.24,1265,1166,0.9217
pmndrs/react-spring,28440,TypeScript,6.94,429,50,0.24,1243,1141,0.9179
unslothai/unsloth,28436,Python,1.21,280,10,0.0,1314,631,0.4802
derailed/k9s,28393,Go,6.05,718,227,0.0,1925,1363,0.7081
ageron/handson-ml2,28378,Jupyter Notebook,6.1,64,0,0.25,514,300,0.5837
mouredev/Hello-Python,28358,Python,2.53,0,0,0.01,154,137,0.8896
codepath/android_guides,28346,Não especificada,11.65,10,0,0.09,379,219,0.5778
ZuzooVn/machine-learning-for-software-engineers,28341,Não especificada,8.35,60,0,0.39,26,9,0.3462
GorvGoyl/Clone-Wars,28291,Não especificada,4.2,130,0,0.13,81,70,0.8642
meta-llama/llama3,28274,Python,0.92,24,0,0.02,284,117,0.412
xuxueli/xxl-job,28268,Java,9.21,109,36,0.09,3128,2453,0.7842
caolan/async,28218,JavaScript,14.7,554,7,0.71,1139,1133,0.9947
sampotts/plyr,28213,JavaScript,10.0,384,88,0.15,2098,1220,0.5815
alibaba/spring-cloud-alibaba,28204,Java,7.2,1063,47,0.35,2437,2182,0.8954
pmndrs/react-three-fiber,28160,TypeScript,5.97,618,113,0.14,1065,998,0.9371
cloudcommunity/Free-Certifications,28158,Não especificada,4.54,115,0,0.02,94,67,0.7128
utmapp/UTM,28116,Swift,5.84,249,118,0.15,3217,2352,0.7311
jashkenas/backbone,28099,JavaScript,14.37,880,0,0.07,2404,2364,0.9834
jamiebuilds/the-super-tiny-compiler,28098,JavaScript,8.93,20,0,0.17,0,0,0.0
mli/paper-reading,28088,Não especificada,3.31,14,0,0.24,0,0,0.0
acheong08/ChatGPT,28065,Python,2.2,294,277,0.17,805,794,0.9863
alibaba/druid,28059,Java,13.28,1447,51,0.08,4478,2276,0.5083
immerjs/immer,28054,JavaScript,7.13,374,109,0.5,665,632,0.9504
wesbos/JavaScript30,28037,HTML,8.18,153,0,0.18,0,0,0.0
HeyPuter/puter,28029,JavaScript,0.95,472,7,0.03,534,380,0.7116
zadam/trilium,28027,JavaScript,7.73,250,297,0.01,3496,2610,0.7466
LadybirdBrowser/ladybird,27993,C++,0.71,2526,0,0.02,683,351,0.5139
google-research/tuning_playbook,27980,Não especificada,2.07,14,0,0.19,43,34,0.7907
Pierian-Data/Complete-Python-3-Bootcamp,27967,Jupyter Notebook,7.0,12,0,0.38,361,223,0.6177
tinygrad/tinygrad,27966,Python,4.32,5978,10,0.04,858,718,0.8368
digitalocean/nginxconfig.io,27962,JavaScript,7.11,191,0,0.04,237,184,0.7764
DevToys-app/DevToys,27955,C#,3.38,497,38,0.01,879,654,0.744
fish-shell/fish-shell,27949,Rust,12.76,2006,45,0.15,7373,6942,0.9415
tokio-rs/tokio,27896,Rust,8.43,3431,126,0.03,2383,2093,0.8783
viraptor/reverse-interview,27883,Não especificada,5.43,74,0,0.14,25,18,0.72
donnemartin/data-science-ipython-notebooks,27848,Python,10.06,31,0,0.0,41,22,0.5366
filebrowser/filebrowser,27819,Go,9.42,526,62,0.15,2524,2441,0.9671
spf13/viper,27810,Go,10.87,485,32,0.02,884,478,0.5407
cfenollosa/os-tutorial,27806,C,10.38,11,0,0.2,176,104,0.5909
nothings/stb,27806,C,10.72,285,0,0.01,847,686,0.8099
JedWatson/react-select,27805,TypeScript,10.47,1051,59,0.3,3604,3247,0.9009
statelyai/xstate,27777,TypeScript,9.42,1904,398,0.33,1366,1271,0.9305
mantinedev/mantine,27734,TypeScript,4.1,1364,251,0.0,2934,2917,0.9942
browser-use/browser-use,27734,Python,0.29,228,34,0.0,306,75,0.2451
nagadomi/waifu2x,27734,Lua,9.75,68,3,0.04,362,209,0.5773
mobxjs/mobx,27725,TypeScript,9.92,1143,112,0.06,1962,1911,0.974
ChartsOrg/Charts,27720,Swift,9.9,418,38,0.03,4263,3380,0.7929
eugeneyan/applied-ml,27690,Não especificada,4.61,208,0,0.11,24,22,0.9167
nicolargo/glances,27666,Python,13.2,709,49,0.03,1976,1803,0.9124
imputnet/cobalt,27646,Svelte,2.6,198,0,0.01,717,586,0.8173
MichaelCade/90DaysOfDevOps,27638,Shell,3.13,357,2,0.21,89,80,0.8989
medusajs/medusa,27602,TypeScript,5.07,6514,113,0.08,2720,2635,0.9688
restic/restic,27602,Go,10.8,2123,47,0.31,2706,2346,0.867
vadimdemedes/ink,27593,TypeScript,7.67,213,53,0.02,357,290,0.8123
iperov/DeepFaceLive,27587,Python,4.16,13,35,0.01,144,143,0.9931
xyflow/xyflow,27578,TypeScript,5.58,1244,294,0.06,2111,2013,0.9536
lenve/vhr,27569,Java,7.11,1,0,0.05,254,96,0.378
getcursor/cursor,27561,Não especificada,1.93,46,0,0.05,2427,1073,0.4421
GitbookIO/gitbook,27531,TypeScript,10.87,689,17,0.01,1865,1829,0.9807
YMFE/yapi,27487,JavaScript,8.71,141,1,0.52,2447,921,0.3764
huggingface/diffusers,27483,Python,2.71,4305,81,0.02,4500,4095,0.91
janhq/jan,27468,TypeScript,1.49,1936,72,0.01,2155,2018,0.9364
StevenBlack/hosts,27463,Python,12.84,476,728,0.14,2019,1922,0.952
Advanced-Frontend/Daily-Interview-Question,27444,JavaScript,6.07,15,0,0.42,560,298,0.5321
helm/helm,27426,Go,9.36,3831,204,0.24,7931,7552,0.9522
chatanywhere/GPT_API_free,27423,Python,1.81,1,0,0.11,332,274,0.8253
geekcompany/ResumeSample,27403,Não especificada,10.43,2,0,0.08,0,0,0.0
google/python-fire,27394,Python,7.98,118,11,0.09,326,198,0.6074
