repo,stars,language,age_years,merged_prs,releases,days_since_update,total_issues,closed_issues,issues_ratio
nlohmann/json,44376,C++,11.61,800,44,0.02,2278,2227,0.9776
type-challenges/type-challenges,44349,TypeScript,4.56,573,0,0.33,34921,3635,0.1041
ColorlibHQ/AdminLTE,44313,Astro,11.14,1539,75,0.22,2862,2733,0.9549
hashicorp/terraform,44133,Go,10.92,12168,346,0.04,21238,19435,0.9151
Asabeneh/30-Days-Of-JavaScript,43915,JavaScript,5.14,98,0,0.29,167,59,0.3533
FuelLabs/fuels-ts,43907,TypeScript,3.45,1844,143,0.32,1393,1305,0.9368
FuelLabs/fuels-rs,43905,Rust,3.29,852,109,0.66,633,547,0.8641
dkhamsing/open-source-ios-apps,43860,Não especificada,10.05,1241,37,0.0,297,296,0.9966
jakevdp/PythonDataScienceHandbook,43843,Jupyter Notebook,8.51,28,0,0.01,199,78,0.392
hacksider/Deep-Live-Cam,43804,Python,1.39,69,4,0.01,628,621,0.9889
TanStack/query,43736,TypeScript,5.43,2439,1000,0.02,2019,1961,0.9713
vercel/hyper,43678,TypeScript,8.62,3291,88,0.18,3784,2866,0.7574
pocketbase/pocketbase,43663,Go,2.61,49,191,0.02,1705,1685,0.9883
parcel-bundler/parcel,43646,JavaScript,7.52,2576,39,0.07,5415,4898,0.9045
google/zx,43561,JavaScript,3.78,368,79,0.07,464,450,0.9698
aymericdamien/TensorFlow-Examples,43525,Jupyter Notebook,9.26,88,0,0.08,236,70,0.2966
brillout/awesome-react-components,43503,Não especificada,8.64,324,0,0.05,51,44,0.8627
bigskysoftware/htmx,43486,JavaScript,4.84,869,24,0.07,1474,921,0.6248
astaxie/build-web-application-with-golang,43432,Go,12.53,757,0,0.27,303,182,0.6007
babel/babel,43414,TypeScript,10.38,6051,424,0.06,8916,8284,0.9291
square/retrofit,43299,HTML,14.44,1047,2,0.04,2731,2608,0.955
isocpp/CppCoreGuidelines,43255,CSS,9.49,807,4,0.34,1193,950,0.7963
dypsilon/frontend-dev-bookmarks,43181,Não especificada,11.65,129,1,0.02,107,82,0.7664
discourse/discourse,43177,Ruby,12.09,27309,0,0.01,0,0,0.0
lllyasviel/Fooocus,43175,Python,1.51,447,21,0.01,1563,1366,0.874
skylot/jadx,42810,Java,11.91,524,30,0.01,1790,1384,0.7732
serhii-londar/open-source-mac-os-apps,42744,Não especificada,7.28,523,0,0.03,206,158,0.767
akullpp/awesome-java,42743,Não especificada,10.6,691,0,0.01,135,133,0.9852
streamich/react-use,42495,TypeScript,6.3,1520,256,0.02,587,244,0.4157
Homebrew/brew,42460,Ruby,8.94,12049,410,0.03,4616,4544,0.9844
oobabooga/text-generation-webui,42419,Python,2.15,1071,57,0.01,3788,3578,0.9446
grpc/grpc,42417,C++,10.18,19581,337,0.1,11583,10920,0.9428
react-hook-form/react-hook-form,42392,TypeScript,5.94,1991,563,0.01,4636,4591,0.9903
yangshun/front-end-interview-handbook,42311,MDX,7.08,310,0,0.09,100,87,0.87
kelseyhightower/kubernetes-the-hard-way,42230,Não especificada,8.6,71,0,0.02,421,300,0.7126
lyswhut/lx-music-desktop,42214,TypeScript,5.5,74,109,0.0,1987,1182,0.5949
Leaflet/Leaflet,42011,JavaScript,14.39,2989,31,0.31,5216,4799,0.9201
k88hudson/git-flight-rules,41995,Não especificada,10.56,224,0,0.03,73,55,0.7534
Unitech/pm2,41898,JavaScript,11.73,550,124,0.07,5030,4072,0.8095
RocketChat/Rocket.Chat,41863,TypeScript,9.74,13483,1000,0.06,16116,13601,0.8439
jesseduffield/lazydocker,41729,Go,5.74,186,42,0.01,342,185,0.5409
dbeaver/dbeaver,41715,Java,9.32,5494,217,0.07,18379,15558,0.8465
dani-garcia/vaultwarden,41708,Rust,6.99,911,69,0.05,2195,2188,0.9968
Alamofire/Alamofire,41624,Swift,10.54,650,102,0.19,2776,2741,0.9874
LeCoupa/awesome-cheatsheets,41557,JavaScript,7.26,169,0,0.04,92,57,0.6196
GitSquared/edex-ui,41550,JavaScript,8.04,399,29,0.02,559,553,0.9893
yarnpkg/yarn,41489,JavaScript,9.07,1654,152,0.68,6597,4730,0.717
jeecgboot/JeecgBoot,41470,Java,6.22,87,52,0.01,6765,6725,0.9941
microsoft/monaco-editor,41401,JavaScript,8.69,463,91,0.19,3744,3133,0.8368
DovAmir/awesome-design-patterns,41216,Não especificada,6.7,31,0,0.11,15,5,0.3333
acmesh-official/acme.sh,41118,Shell,9.14,1370,44,0.03,3178,2165,0.6812
prisma/prisma,41109,TypeScript,5.65,5708,207,0.05,10860,8635,0.7951
DigitalPlatDev/FreeDomain,41064,HTML,0.71,0,0,0.04,0,0,0.0
bailicangdu/vue2-elm,41033,Vue,8.14,21,0,0.74,628,512,0.8153
THUDM/ChatGLM-6B,41030,Python,1.92,49,0,0.0,1305,749,0.5739
sudheerj/reactjs-interview-questions,40993,JavaScript,6.71,157,0,0.11,107,101,0.9439
alex/what-happens-when,40924,Não especificada,11.27,108,0,0.07,291,53,0.1821
faif/python-patterns,40910,Python,12.69,265,0,0.15,89,78,0.8764
apache/dubbo,40719,Java,12.65,5564,107,0.05,7126,6332,0.8886
pyenv/pyenv,40694,Roff,12.45,933,119,0.06,1809,1747,0.9657
metabase/metabase,40691,Clojure,10.03,27838,616,0.02,21567,17735,0.8223
styled-components/styled-components,40655,TypeScript,8.5,953,172,0.1,2924,2639,0.9025
odoo/odoo,40561,Python,10.76,6179,0,0.01,18017,15009,0.833
apache/spark,40512,Scala,10.97,7,0,0.0,0,0,0.0
nolimits4web/swiper,40504,JavaScript,12.92,591,80,0.09,5643,5477,0.9706
nwjs/nw.js,40490,JavaScript,13.11,575,0,0.33,7358,6429,0.8737
dcloudio/uni-app,40394,JavaScript,6.59,321,0,0.39,4683,3634,0.776
RVC-Boss/GPT-SoVITS,40314,Python,1.08,272,1,0.02,1480,789,0.5331
mingrammer/diagrams,40262,Python,5.03,301,43,0.22,519,213,0.4104
hiyouga/LLaMA-Factory,40222,Python,1.72,380,32,0.0,5894,5625,0.9544
vuetifyjs/vuetify,40204,TypeScript,8.42,4056,576,0.05,14459,13912,0.9622
Light-City/CPlusPlusThings,40152,C++,5.59,72,0,0.1,226,218,0.9646
apachecn/ailearning,40070,Python,7.97,478,2,0.04,128,126,0.9844
Stability-AI/stablediffusion,40056,Python,2.22,18,0,0.0,318,75,0.2358
getsentry/sentry,40001,Python,14.46,62230,144,0.01,14546,12481,0.858
Kong/kong,39981,Lua,10.24,6360,144,0.02,4470,4417,0.9881
hexojs/hexo,39963,TypeScript,12.39,931,114,0.05,3964,3885,0.9801
fastlane/fastlane,39880,Ruby,10.2,6211,548,0.23,13079,12469,0.9534
maybe-finance/maybe,39702,Ruby,1.12,840,23,0.03,545,508,0.9321
rasbt/LLMs-from-scratch,39678,Jupyter Notebook,1.56,265,0,0.0,120,120,1.0
psf/black,39576,Python,6.92,1533,46,0.05,2666,2322,0.871
coreybutler/nvm-windows,39403,Go,10.4,107,23,0.01,889,812,0.9134
microsoft/autogen,39322,Python,1.49,2028,74,0.01,2413,1878,0.7783
iina/iina,39293,Swift,8.15,775,44,0.05,4019,2303,0.573
karpathy/nanoGPT,39256,Python,2.13,45,0,0.0,324,105,0.3241
astral-sh/uv,39190,Rust,1.37,5695,154,0.01,5183,4001,0.7719
bannedbook/fanqiang,39154,Kotlin,10.08,3,3,0.02,778,458,0.5887
spf13/cobra,39148,Go,11.44,602,22,0.1,1178,970,0.8234
hpcaitech/ColossalAI,39067,Python,3.29,3608,47,0.0,1675,1275,0.7612
ClickHouse/ClickHouse,38946,C++,8.7,44185,619,0.01,22703,18896,0.8323
chubin/cheat.sh,38927,Python,7.77,124,0,0.13,251,129,0.5139
termux/termux-app,38875,Java,9.31,160,91,0.0,2760,2402,0.8703
Dogfalo/materialize,38867,JavaScript,10.42,449,41,0.63,5223,4599,0.8805
run-llama/llama_index,38839,Python,2.28,6043,357,0.01,5866,5223,0.8904
tldraw/tldraw,38826,TypeScript,3.77,2805,58,0.01,1421,1160,0.8163
floodsung/Deep-Learning-Papers-Reading-Roadmap,38734,Python,8.33,28,0,0.0,55,5,0.0909
apache/airflow,38710,Python,9.84,24427,93,0.04,10690,9589,0.897
php/php-src,38657,C,13.66,3678,5,0.08,3781,3022,0.7993
tabler/tabler,38656,HTML,7.03,578,47,0.2,954,919,0.9633
google-research/bert,38639,Python,6.3,32,0,0.0,1144,354,0.3094
evanw/esbuild,38538,Go,8.67,235,292,0.09,3599,3126,0.8686
1c7/chinese-independent-developer,38517,Não especificada,7.4,267,0,0.01,162,161,0.9938
chakra-ui/chakra-ui,38493,TypeScript,5.49,2635,1000,0.06,3955,3943,0.997
2dust/v2rayNG,38404,Kotlin,5.75,406,225,0.0,3130,3121,0.9971
videojs/video.js,38398,JavaScript,14.75,1792,328,0.16,5330,4792,0.8991
wg/wrk,38390,C,12.9,0,0,0.06,404,262,0.6485
cli/cli,38269,Go,5.36,2370,156,0.03,4600,3886,0.8448
GokuMohandas/Made-With-ML,38154,Jupyter Notebook,6.28,147,0,0.16,73,57,0.7808
bradtraversy/50projects50days,38154,CSS,4.24,42,0,0.11,0,0,0.0
bevyengine/bevy,37913,Rust,5.07,4886,35,0.03,6293,4213,0.6695
byoungd/English-level-up-tips,37912,HTML,7.71,26,0,0.0,99,72,0.7273
pingcap/tidb,37892,Go,9.44,31371,205,0.01,20038,16315,0.8142
mitmproxy/mitmproxy,37865,Python,14.99,2520,71,0.07,3461,3137,0.9064
google/styleguide,37846,HTML,9.74,171,0,0.3,343,233,0.6793
PhilJay/MPAndroidChart,37808,Java,10.8,190,44,0.06,4958,2894,0.5837
QSCTech/zju-icicles,37798,HTML,8.63,221,0,0.51,77,67,0.8701
lm-sys/FastChat,37755,Python,1.91,848,14,0.0,1859,1064,0.5724
impress/impress.js,37705,JavaScript,13.13,121,15,0.96,481,426,0.8857
ggerganov/whisper.cpp,37664,C++,2.39,623,24,0.02,1519,712,0.4687
coqui-ai/TTS,37582,Python,4.73,467,98,0.05,1148,1133,0.9869
phaserjs/phaser,37530,JavaScript,11.84,1703,162,0.08,4462,4396,0.9852
vllm-project/vllm,37513,Python,2.01,4476,49,0.0,6414,5175,0.8068
go-gorm/gorm,37480,Go,11.3,729,2,0.02,5879,5470,0.9304
vim/vim,37435,Vim Script,9.49,438,0,0.07,8519,7063,0.8291
streamlit/streamlit,37389,Python,5.48,4559,90,0.02,4803,3856,0.8028
typst/typst,37381,Rust,5.39,1534,20,0.15,2924,2212,0.7565
NaiboWang/EasySpider,37368,JavaScript,4.57,40,10,0.0,599,443,0.7396
docker/awesome-compose,37290,HTML,5.0,149,0,0.17,123,40,0.3252
ziglang/zig,37279,Zig,9.53,8471,18,0.09,12002,8949,0.7456
QuivrHQ/quivr,37277,Python,1.76,1798,354,0.07,1522,1486,0.9763
freefq/free,37276,Não especificada,4.69,0,0,0.04,690,189,0.2739
coollabsio/coolify,37248,PHP,4.05,1424,585,0.02,2259,1884,0.834
LAION-AI/Open-Assistant,37219,Python,2.17,1616,127,0.0,1643,1417,0.8624
expo/expo,37175,TypeScript,8.5,15659,0,0.02,15629,15139,0.9686
FreeCodeCampChina/freecodecamp.cn,37173,CSS,8.37,55,0,0.04,585,445,0.7607
preactjs/preact,37140,JavaScript,9.43,1768,218,0.11,1850,1779,0.9616
LC044/WeChatMsg,37126,Python,2.09,62,33,0.01,443,384,0.8668
jellyfin/jellyfin,37114,C#,6.18,4453,84,0.06,6742,6313,0.9364
google/leveldb,37071,C++,10.46,64,21,0.18,771,535,0.6939
eugenp/tutorials,36998,Java,11.79,12958,0,0.01,776,747,0.9626
zhongyang219/TrafficMonitor,36970,C++,7.54,48,26,0.01,1769,674,0.381
usememos/memos,36957,Go,3.18,1602,75,0.02,2191,2167,0.989
suno-ai/bark,36908,Jupyter Notebook,1.85,19,0,0.08,455,234,0.5143
koalaman/shellcheck,36907,Haskell,12.24,286,29,0.03,2738,1671,0.6103
gto76/python-cheatsheet,36832,Python,7.05,14,0,0.02,66,61,0.9242
curl/curl,36796,C,14.91,189,86,0.02,4884,4869,0.9969
dylanaraps/pure-bash-bible,36781,Shell,6.67,28,0,0.29,76,33,0.4342
ant-design/ant-design-pro,36779,TypeScript,7.47,972,26,0.02,9695,9512,0.9811
0voice/interview_internal_reference,36774,Python,5.68,35,0,0.0,46,18,0.3913
deepspeedai/DeepSpeed,36701,Python,5.06,2548,86,0.0,2964,1964,0.6626
