API_Type,Response_Time_mean,Response_Time_std,Response_Size_mean,Response_Size_std
GraphQL,0.40072367986043295,0.07816985940605,977.0,0.0
REST,0.2911807457605997,0.01889304443259348,6719.0,0.0
