Metric,Pearson_Coefficient,Pearson_p-value,Spearman_Coefficient,Spearman_p-value
CBO,0.011051680419736865,0.7298203388603891,0.439882172136812,1.3769486413982902e-47
DIT,-0.07953080374342096,0.012803019475256533,0.3001091499321536,7.974056641177281e-22
LCOM,0.029193539013320932,0.3615248070909057,0.4618128491853421,7.10158932347751e-53
