Metric,Pearson_Coefficient,Pearson_p-value,Spearman_Coefficient,Spearman_p-value
CBO,0.015929216563424296,0.6186224050129312,0.00824381514779321,0.7967037636176286
DIT,0.1353479573136469,2.146742572214498e-05,0.24459772350839493,8.384540865709962e-15
LCOM,0.027907914588251835,0.3830641682313733,0.18229982209865211,9.197911887911641e-09
