Metric,Pearson_Coefficient,Pearson_p-value,Spearman_Coefficient,Spearman_p-value
CBO,-0.1383842084670435,1.3909122190871221e-05,-0.025282424671997365,0.4294244968784112
DIT,-0.14747435930920352,3.590396971562022e-06,-0.04972613036265266,0.11998087064044721
LCOM,0.01834399487136468,0.5664552810508013,0.003955713450579882,0.9016220304863216
