nameWithOwner,url,stargazerCount,primaryLanguage,createdAt,updatedAt,defaultBranchRef,releases,pullRequests,issues,closedIssues,age_days,days_since_update,language,issues_closed_ratio,pr_count
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,412321,{'name': 'TypeScript'},2014-12-24 17:49:19+00:00,2025-03-14 21:29:13+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 24557},{'totalCount': 19027},{'totalCount': 18861},3733.155608562338,0.00290022900462963,TypeScript,0.9912755557891417,24557
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,357027,{'name': 'Markdown'},2018-05-09 12:03:18+00:00,2025-03-14 21:30:49+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 140},{'totalCount': 740},{'totalCount': 545},2501.3958979141894,0.0017891178935185187,Markdown,0.7364864864864865,140
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,353095,{'name': 'HTML'},2013-10-11 06:50:37+00:00,2025-03-14 21:25:02+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 6791},{'totalCount': 1167},{'totalCount': 1136},4172.613039117893,0.005805321597222223,HTML,0.9734361610968295,6791
sindresorhus/awesome,https://github.com/sindresorhus/awesome,351400,,2014-07-11 13:42:37+00:00,2025-03-14 21:32:05+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 664},{'totalCount': 349},{'totalCount': 336},3899.3269280067825,0.0009094882638888889,None,0.9627507163323782,664
public-apis/public-apis,https://github.com/public-apis/public-apis,332622,{'name': 'Python'},2016-03-20 23:49:42+00:00,2025-03-14 21:30:36+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 1872},{'totalCount': 660},{'totalCount': 603},3280.9053423586342,0.0019395808564814817,Python,0.9136363636363637,1872
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,313203,,2016-06-06 02:34:12+00:00,2025-03-14 21:29:44+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 415},{'totalCount': 510},{'totalCount': 457},3203.791106247523,0.0025414327083333335,None,0.8960784313725491,415
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,311678,{'name': 'TypeScript'},2017-03-15 13:45:52+00:00,2025-03-14 21:21:30+00:00,{'name': 'master'},{'totalCount': 1},{'totalCount': 3358},{'totalCount': 2695},{'totalCount': 2538},2921.3246710623375,0.008259025300925926,TypeScript,0.9417439703153989,3358
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,291856,{'name': 'Python'},2017-02-26 16:15:28+00:00,2025-03-14 20:41:15+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 199},{'totalCount': 323},{'totalCount': 87},2938.2207821734487,0.03621041418981481,Python,0.2693498452012384,199
996icu/996.ICU,https://github.com/996icu/996.ICU,270424,,2019-03-26 07:31:14+00:00,2025-03-14 21:32:08+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 1068},{'totalCount': 0},{'totalCount': 0},2180.5848330993745,0.0008747660416666667,None,0.0,1068
vinta/awesome-python,https://github.com/vinta/awesome-python,237090,{'name': 'Python'},2014-06-27 21:00:06+00:00,2025-03-14 21:29:53+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 543},{'totalCount': 0},{'totalCount': 0},3913.023120136412,0.0024372660416666666,Python,0.0,543
