,CBO,DIT,LCOM,LOC,Comments,Maturity,Release,Stars
count,979.0,979.0,979.0,979.0,979.0,979.0,979.0,979.0
mean,4.962932821661032,1.348341534068501,115.25370902762204,180317.66394279877,60371.50459652707,9.262982635342185,13.548518896833503,9281.101123595505
std,2.2573476066906424,0.5219914127008399,1796.6310804120749,897840.4890750311,437576.9982240587,2.9350782870006897,12.98175711306989,11052.165904054515
min,0.0,0.0,0.0,0.0,0.0,0.46,0.0,3301.0
25%,4.019489091750817,1.206229082802082,7.779782533853568,4086.5,785.5,7.49,0.0,4267.0
50%,5.1891891891891895,1.3729903536977492,21.916666666666668,21252.0,5120.0,9.33,10.0,5646.0
75%,6.328244930690801,1.6001237531981163,47.95035846882601,93512.0,26189.5,11.32,30.0,9638.0
max,22.322022709268552,4.388040712468193,55991.23940868938,23206140.0,12489032.0,16.19,30.0,148824.0
