id;full_name;description;language;stargazers_count;forks_count;open_issues_count;pr_count
311525798;microsoft/Web-Dev-For-Beginners;24 Lessons, 12 Weeks, Get Started as a Web Developer;JavaScript;87172;13070;136;306
106017343;tailwindlabs/tailwindcss;A utility-first CSS framework for rapid UI development.;TypeScript;86984;4469;94;501
54173593;storybookjs/storybook;Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation;TypeScript;86315;9492;2208;580
585146387;shadcn-ui/ui;A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.;TypeScript;84938;5706;1709;182
612230;nvm-sh/nvm;Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions;Shell;83807;8566;346;502
4164482;django/django;The Web framework for perfectionists with deadlines.;Python;83069;32465;314;501
160919119;fastapi/fastapi;FastAPI framework, high performance, easy to learn, fast to code, ready for production;Python;83016;7191;338;238
1181927;bitcoin/bitcoin;Bitcoin Core integration/staging tree;C++;82809;37013;699;443
612344730;ChatGPTNextWeb/NextChat;✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows;TypeScript;82564;61081;715;280
74293321;sveltejs/svelte;web development for the rest of us;JavaScript;82149;4457;808;491
5108051;opencv/opencv;Open Source Computer Vision Library;C++;81568;56099;2728;430
20904437;gin-gonic/gin;Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.;Go;81400;8161;863;381
214587193;supabase/supabase;The open source Firebase alternative. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.;TypeScript;80549;8214;586;557
12888993;home-assistant/core;:house_with_garden: Open source home automation that puts local control and privacy first.;Python;77938;33192;3294;586
655806940;microsoft/generative-ai-for-beginners;21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/;Jupyter Notebook;77863;40210;19;289
26066727;mermaid-js/mermaid;Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown;TypeScript;77815;7317;1324;208
612354784;ggml-org/llama.cpp;LLM inference in C/C++;C++;77798;11348;745;495
51117837;tensorflow/models;Models and examples built with TensorFlow;Python;77482;45633;1249;432
357728969;oven-sh/bun;Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one;Zig;77340;3011;4617;237
32689863;3b1b/manim;Animation engine for explanatory math videos;Python;76625;6647;454;126
193215554;n8n-io/n8n;Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.;TypeScript;76507;20387;644;516
10744183;netdata/netdata;X-Ray Vision for your infrastructure!;C;74027;6036;215;514
589831718;comfyanonymous/ComfyUI;The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.;Python;73662;7990;2268;145
212639071;bregman-arie/devops-exercises;Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions;Python;73233;16280;38;132
619959033;nomic-ai/gpt4all;GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.;C++;73041;7957;702;536
44882201;MunGell/awesome-for-beginners;A list of awesome beginners-friendly projects.;;72991;7217;13;158
44571718;vuejs/awesome-vue;🎉 A curated list of awesome things related to Vue.js;;72751;9474;52;365
278335273;anuraghazra/github-readme-stats;:zap: Dynamically generated stats for your github readmes;JavaScript;72406;24318;392;532
507775;elastic/elasticsearch;Free and Open Source, Distributed, RESTful Search Engine;Java;72285;25152;4991;265
257485422;vitejs/vite;Next generation frontend tooling. It's fast!;TypeScript;71943;6578;611;505
343965132;microsoft/ML-For-Beginners;12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all;HTML;71758;15413;5;336
221981891;microsoft/playwright;Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ;TypeScript;71422;4048;788;464
203587744;hoppscotch/hoppscotch;Open source API development ecosystem - https://hoppscotch.io (open-source alternative to Postman, Insomnia);TypeScript;70937;4853;523;517
172953845;coder/code-server;VS Code in the browser;TypeScript;70696;5850;155;413
243950408;Anduin2017/HowToCook;程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).;Dockerfile;70177;8892;397;390
7691631;moby/moby;The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems;Go;69519;18726;3559;581
13807606;junegunn/fzf;:cherry_blossom: A command-line fuzzy finder;Go;69265;2486;281;112
14712850;syncthing/syncthing;Open Source Continuous File Synchronization;Go;69231;4469;380;279
156018;redis/redis;Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.;C;68604;23954;2576;534
596115135;base/node;Everything required to run your own Base node;Shell;68520;2667;60;152
44838949;swiftlang/swift;The Swift Programming Language;C++;68328;10447;8148;404
101138315;d2l-ai/d2l-zh;《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。;Python;68231;11527;108;210
15111821;grafana/grafana;The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ;TypeScript;67392;12516;4019;570
382496361;louislam/uptime-kuma;A fancy self-hosted monitoring tool;JavaScript;66906;5884;808;222
237159;expressjs/express;Fast, unopinionated, minimalist web framework for node.;JavaScript;66692;18118;175;170
81598961;python/cpython;The Python programming language;Python;66187;31489;8997;386
43441403;strapi/strapi;🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first.;TypeScript;66023;8463;1091;500
22887094;tesseract-ocr/tesseract;Tesseract Open Source OCR Engine (main repository);C++;65975;9800;442;214
8843683;chartjs/Chart.js;Simple HTML5 Charts using the <canvas> tag;JavaScript;65654;11943;476;526
39464018;apache/superset;Apache Superset is a Data Visualization and Data Exploration Platform;TypeScript;65540;14797;989;514
3678731;webpack/webpack;"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.";JavaScript;65181;9069;239;241
3638964;ansible/ansible;Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on rem...;Python;64651;24011;864;238
620936652;xtekky/gpt4free;The official gpt4free repository | various collection of powerful language models | o3 and deepseek r1, gpt-4.5;Python;63973;13598;39;200
191529732;lydiahallie/javascript-questions;A long list of (advanced) JavaScript questions, and their explanations :sparkles:  ;;63724;9066;39;366
162998479;sherlock-project/sherlock;Hunt down social media accounts by username across social networks;Python;63501;7344;216;215
13233158;obsproject/obs-studio;OBS Studio - Free and open source software for live streaming and screen recording;C;63367;8312;904;483
455229168;immich-app/immich;High performance self-hosted photo and video management solution.;TypeScript;63150;3300;468;538
619859161;twitter/the-algorithm;Source code for Twitter's Recommendation Algorithm;Scala;63064;12166;457;131
33015583;keras-team/keras;Deep Learning for humans;Python;62833;19565;294;493
29207621;caddyserver/caddy;Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS;Go;62732;4220;173;523
468576060;openai/openai-cookbook;Examples and guides for using the OpenAI API;MDX;62697;10171;75;388
331107018;FuelLabs/sway;🌴 Empowering everyone to build reliable and efficient smart contracts.;Rust;62364;5389;859;547
9185792;apache/echarts;Apache ECharts is a powerful, interactive charting and data visualization library for browser;TypeScript;62333;19708;2143;513
377496562;AppFlowy-IO/AppFlowy;Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative.;Dart;61974;4161;971;138
