nameWithOwner,url,stargazerCount,primaryLanguage,createdAt,updatedAt,defaultBranchRef,releases,pullRequests,issues,closedIssues,age_days,days_since_update,language,issues_closed_ratio,pr_count,release_count
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,148691,{'name': 'Java'},2018-05-07 13:27:00+00:00,2025-03-14 21:11:12+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 1150},{'totalCount': 1079},{'totalCount': 1014},2503.3451556618056,0.022794550694444447,Java,0.9397590361445783,1150,0
airbnb/javascript,https://github.com/airbnb/javascript,146280,{'name': 'JavaScript'},2012-11-01 23:13:50+00:00,2025-03-14 18:21:25+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 811},{'totalCount': 1347},{'totalCount': 1252},4515.937632513657,0.14069964328703705,JavaScript,0.9294729027468448,811,0
huggingface/transformers,https://github.com/huggingface/transformers,141222,{'name': 'Python'},2018-10-29 13:56:00+00:00,2025-03-14 21:38:47+00:00,{'name': 'main'},{'totalCount': 182},{'totalCount': 14757},{'totalCount': 16846},{'totalCount': 15818},2328.3250167729166,0.003639458101851852,Python,0.938976611658554,14757,182
avelino/awesome-go,https://github.com/avelino/awesome-go,139750,{'name': 'Go'},2014-07-06 13:42:15+00:00,2025-03-14 21:30:03+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 3404},{'totalCount': 670},{'totalCount': 665},3904.334565384028,0.009704272916666666,Go,0.9925373134328358,3404,0
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,134658,{'name': 'Python'},2010-10-31 14:35:07+00:00,2025-03-14 21:42:29+00:00,{'name': 'master'},{'totalCount': 341},{'totalCount': 1641},{'totalCount': 26695},{'totalCount': 23006},5248.297852421065,0.0010700136574074075,Python,0.8618093275894362,1641,341
ollama/ollama,https://github.com/ollama/ollama,132940,{'name': 'Go'},2023-06-26 19:39:32+00:00,2025-03-14 21:18:59+00:00,{'name': 'main'},{'totalCount': 118},{'totalCount': 2104},{'totalCount': 6404},{'totalCount': 4952},627.0864519581019,0.017389458101851853,Go,0.7732667083073079,2104,118
vercel/next.js,https://github.com/vercel/next.js,130188,{'name': 'JavaScript'},2016-10-05 23:32:51+00:00,2025-03-14 21:24:38+00:00,{'name': 'canary'},{'totalCount': 1000},{'totalCount': 21252},{'totalCount': 22567},{'totalCount': 20015},3081.924426495139,0.013465846990740741,JavaScript,0.8869145212035273,21252,1000
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,127196,{'name': 'Markdown'},2020-02-19 09:01:23+00:00,2025-03-14 19:41:55+00:00,{'name': 'master'},{'totalCount': 1},{'totalCount': 238},{'totalCount': 892},{'totalCount': 891},1850.5296116803243,0.08479686550925926,Markdown,0.9988789237668162,238,1
golang/go,https://github.com/golang/go,126455,{'name': 'Go'},2014-08-19 04:33:40+00:00,2025-03-14 21:41:33+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 1},{'totalCount': 65927},{'totalCount': 56723},3860.715526032176,0.0017181618055555558,Go,0.8603910385729671,1,0
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,125316,{'name': 'Batchfile'},2020-01-12 23:03:34+00:00,2025-03-14 21:36:10+00:00,{'name': 'master'},{'totalCount': 19},{'totalCount': 6},{'totalCount': 590},{'totalCount': 588},1887.944762143287,0.005456587731481482,Batchfile,0.9966101694915255,6,19
